date;marketPrice
2025-05-08;5.63163
2025-05-07;5.65428
2025-05-06;5.67709
2025-05-05;5.66226
2025-05-04;5.6624
2025-05-03;5.66253
2025-05-02;5.5561
2025-05-01;5.55538
2025-04-30;5.55052
2025-04-29;5.52699
2025-04-28;5.51841
2025-04-27;5.51854
2025-04-26;5.51867
2025-04-25;5.50249
2025-04-24;5.46942
2025-04-23;5.35818
2025-04-22;5.37314
2025-04-21;5.37327
2025-04-20;5.3734
2025-04-19;5.37353
2025-04-18;5.37366
2025-04-17;5.40457
2025-04-16;5.44115
2025-04-15;5.40776
2025-04-14;5.29675
2025-04-13;5.29688
2025-04-12;5.29718
2025-04-11;5.31052
2025-04-10;5.1471
2025-04-09;5.31624
2025-04-08;5.20148
2025-04-07;5.32957
2025-04-06;5.3297
2025-04-05;5.32983
2025-04-04;5.53675
2025-04-03;5.71626
2025-04-02;5.71891
2025-04-01;5.66628
2025-03-31;5.69788
2025-03-30;5.69802
2025-03-29;5.69815
2025-03-28;5.78596
2025-03-27;5.7995
2025-03-26;5.82227
2025-03-25;5.81708
2025-03-24;5.75402
2025-03-23;5.75417
2025-03-22;5.75431
2025-03-21;5.76643
2025-03-20;5.76277
2025-03-19;5.72873
2025-03-18;5.74287
2025-03-17;5.71329
2025-03-16;5.71343
2025-03-15;5.71357
2025-03-14;5.66279
2025-03-13;5.70592
2025-03-12;5.66669
2025-03-11;5.73243
2025-03-10;5.76786
2025-03-09;5.768
2025-03-08;5.76814
2025-03-07;5.83989
2025-03-06;5.82488
2025-03-05;5.85592
2025-03-04;5.98997
2025-03-03;5.97431
2025-03-02;5.97445
2025-03-01;5.97459
2025-02-28;6.03108
2025-02-27;6.03956
2025-02-26;5.97806
2025-02-25;6.03739
2025-02-24;6.09349
2025-02-23;6.09363
2025-02-22;6.09378
2025-02-21;6.11268
2025-02-20;6.11223
2025-02-19;6.11108
2025-02-18;6.10565
2025-02-17;6.08416
2025-02-16;6.08431
2025-02-15;6.08446
2025-02-14;6.08582
2025-02-13;6.05613
2025-02-12;6.08269
2025-02-11;6.09312
2025-02-10;6.06511
2025-02-09;6.06526
2025-02-08;6.0654
2025-02-07;6.07709
2025-02-06;6.03459
2025-02-05;6.0429
2025-02-04;6.03455
2025-02-03;6.07588
2025-02-02;6.07602
2025-02-01;6.07617
2025-01-31;6.03921
2025-01-30;6.01912
2025-01-29;5.99414
2025-01-28;5.94976
2025-01-27;6.02884
2025-01-26;6.02899
2025-01-25;6.02913
2025-01-24;6.03596
2025-01-23;6.03104
2025-01-22;5.99723
2025-01-21;5.9974
2025-01-20;6.00484
2025-01-19;6.00498
2025-01-18;6.00512
2025-01-17;5.96769
2025-01-16;5.95449
2025-01-15;5.88854
2025-01-14;5.887
2025-01-13;5.89935
2025-01-12;5.89949
2025-01-11;5.89963
2025-01-10;5.94492
2025-01-09;5.94506
2025-01-08;5.95181
2025-01-07;5.97994
2025-01-06;5.95315
2025-01-05;5.95329
2025-01-04;5.95344
2025-01-03;5.95975
2025-01-02;5.90218
2025-01-01;5.90232
2024-12-31;5.90205
2024-12-30;5.93758
2024-12-29;5.93772
2024-12-28;5.93786
2024-12-27;5.92309
2024-12-26;5.92323
2024-12-25;5.92338
2024-12-24;5.9233
2024-12-23;5.9323
2024-12-22;5.93245
2024-12-21;5.93259
2024-12-20;5.92293
2024-12-19;5.99537
2024-12-18;5.98853
2024-12-17;6.00576
2024-12-16;6.00264
2024-12-15;6.00278
2024-12-14;6.00293
2024-12-13;6.02695
2024-12-12;6.03832
2024-12-11;6.01372
2024-12-10;6.01607
2024-12-09;6.01495
2024-12-08;6.01509
2024-12-07;6.01524
2024-12-06;6.01133
2024-12-05;6.00893
2024-12-04;5.99184
2024-12-03;5.9939
2024-12-02;5.96206
2024-12-01;5.9622
2024-11-30;5.96235
2024-11-29;5.93941
2024-11-28;5.92164
2024-11-27;5.95604
2024-11-26;5.95406
2024-11-25;5.96169
2024-11-24;5.96183
2024-11-23;5.96198
2024-11-22;5.91263
2024-11-21;5.86225
2024-11-20;5.86389
2024-11-19;5.86697
2024-11-18;5.84944
2024-11-17;5.84958
2024-11-16;5.84972
2024-11-15;5.90142
2024-11-14;5.90329
2024-11-13;5.8928
2024-11-12;5.91774
2024-11-11;5.8776
2024-11-10;5.87775
2024-11-09;5.87789
2024-11-08;5.86399
2024-11-07;5.71909
2024-11-06;5.71923
2024-11-05;5.69833
2024-11-04;5.72527
2024-11-03;5.7254
2024-11-02;5.72554
2024-11-01;5.69402
2024-10-31;5.76052
2024-10-30;5.78807
2024-10-29;5.78821
2024-10-28;5.79024
2024-10-27;5.79038
2024-10-26;5.79052
2024-10-25;5.77838
2024-10-24;5.78501
2024-10-23;5.80123
2024-10-22;5.79519
2024-10-21;5.82356
2024-10-20;5.8237
2024-10-19;5.82385
2024-10-18;5.82228
2024-10-17;5.79134
2024-10-16;5.78631
2024-10-15;5.79672
2024-10-14;5.76928
2024-10-13;5.76942
2024-10-12;5.76956
2024-10-11;5.75416
2024-10-10;5.74458
2024-10-09;5.71657
2024-10-08;5.73547
2024-10-07;5.72323
2024-10-06;5.72337
2024-10-05;5.72351
2024-10-04;5.69859
2024-10-03;5.68984
2024-10-02;5.68998
2024-10-01;5.67653
2024-09-30;5.68777
2024-09-29;5.68791
2024-09-28;5.68805
2024-09-27;5.67374
2024-09-26;5.64612
2024-09-25;5.64884
2024-09-24;5.63027
2024-09-23;5.59949
2024-09-22;5.59963
2024-09-21;5.59977
2024-09-20;5.62406
2024-09-19;5.58661
2024-09-18;5.58674
2024-09-17;5.56303
2024-09-16;5.57875
2024-09-15;5.57889
2024-09-14;5.57902
2024-09-13;5.54553
2024-09-12;5.48694
2024-09-11;5.49913
2024-09-10;5.49926
2024-09-09;5.45577
2024-09-08;5.4559
2024-09-07;5.45603
2024-09-06;5.53011
2024-09-05;5.53025
2024-09-04;5.57486
2024-09-03;5.61334
2024-09-02;5.59501
2024-09-01;5.59515
2024-08-31;5.59528
2024-08-30;5.60863
2024-08-29;5.56232
2024-08-28;5.56411
2024-08-27;5.56458
2024-08-26;5.56952
2024-08-25;5.56965
2024-08-24;5.56979
2024-08-23;5.56108
2024-08-22;5.56117
2024-08-21;5.55829
2024-08-20;5.57225
2024-08-19;5.55969
2024-08-18;5.55983
2024-08-17;5.55996
2024-08-16;5.54984
2024-08-15;5.48142
2024-08-14;5.47553
2024-08-13;5.43741
2024-08-12;5.42771
2024-08-11;5.42785
2024-08-10;5.42798
2024-08-09;5.41061
2024-08-08;5.40372
2024-08-07;5.33919
2024-08-06;5.30819
2024-08-05;5.41007
2024-08-04;5.4102
2024-08-03;5.41033
2024-08-02;5.57447
2024-08-01;5.6138
2024-07-31;5.54695
2024-07-30;5.54454
2024-07-29;5.53618
2024-07-28;5.53632
2024-07-27;5.53645
2024-07-26;5.52525
2024-07-25;5.54809
2024-07-24;5.61607
2024-07-23;5.58087
2024-07-22;5.56255
2024-07-21;5.56269
2024-07-20;5.56282
2024-07-19;5.59449
2024-07-18;5.6192
2024-07-17;5.66678
2024-07-16;5.65783
2024-07-15;5.6624
2024-07-14;5.66254
2024-07-13;5.66268
2024-07-12;5.64502
2024-07-11;5.64519
2024-07-10;5.62559
2024-07-09;5.62283
2024-07-08;5.61151
2024-07-07;5.61165
2024-07-06;5.61179
2024-07-05;5.60964
2024-07-04;5.59956
2024-07-03;5.58039
2024-07-02;5.57618
2024-07-01;5.59888
2024-06-30;5.59901
2024-06-29;5.59915
2024-06-28;5.58115
2024-06-27;5.58652
2024-06-26;5.58898
2024-06-25;5.59561
2024-06-24;5.58755
2024-06-23;5.58769
2024-06-22;5.58783
2024-06-21;5.60053
2024-06-20;5.58872
2024-06-19;5.58273
2024-06-18;5.55357
2024-06-17;5.55152
2024-06-16;5.55165
2024-06-15;5.55179
2024-06-14;5.53806
2024-06-13;5.53729
2024-06-12;5.5136
2024-06-11;5.52325
2024-06-10;5.50776
2024-06-09;5.5079
2024-06-08;5.50803
2024-06-07;5.49371
2024-06-06;5.47768
2024-06-05;5.42376
2024-06-04;5.44153
2024-06-03;5.40798
2024-06-02;5.40811
2024-06-01;5.40825
2024-05-31;5.44158
2024-05-30;5.45243
2024-05-29;5.47568
2024-05-28;5.49455
2024-05-27;5.48226
2024-05-26;5.4824
2024-05-25;5.48253
2024-05-24;5.49946
2024-05-23;5.5029
2024-05-22;5.50294
2024-05-21;5.51539
2024-05-20;5.49651
2024-05-19;5.49664
2024-05-18;5.49678
2024-05-17;5.5067
2024-05-16;5.48977
2024-05-15;5.45445
2024-05-14;5.45679
2024-05-13;5.45965
2024-05-12;5.45978
2024-05-11;5.45992
2024-05-10;5.44925
2024-05-09;5.44439
2024-05-08;5.4451
2024-05-07;5.42222
2024-05-06;5.39515
2024-05-05;5.39528
2024-05-04;5.39542
2024-05-03;5.36266
2024-05-02;5.37552
2024-05-01;5.376
2024-04-30;5.38898
2024-04-29;5.38344
2024-04-28;5.38357
2024-04-27;5.3837
2024-04-26;5.31192
2024-04-25;5.35618
2024-04-24;5.35696
2024-04-23;5.31641
2024-04-22;5.3038
2024-04-21;5.30393
2024-04-20;5.30406
2024-04-19;5.34003
2024-04-18;5.3292
2024-04-17;5.34612
2024-04-16;5.41118
2024-04-15;5.42554
2024-04-14;5.42568
2024-04-13;5.42581
2024-04-12;5.41024
2024-04-11;5.40502
2024-04-10;5.39307
2024-04-09;5.40782
2024-04-08;5.39857
2024-04-07;5.3987
2024-04-06;5.39884
2024-04-05;5.42811
2024-04-04;5.41874
2024-04-03;5.41971
2024-04-02;5.44615
2024-04-01;5.44629
2024-03-31;5.43616
2024-03-30;5.4363
2024-03-29;5.43643
2024-03-28;5.40952
2024-03-27;5.40989
2024-03-26;5.40275
2024-03-25;5.41505
2024-03-24;5.41518
2024-03-23;5.41532
2024-03-22;5.41822
2024-03-21;5.36448
2024-03-20;5.35731
2024-03-19;5.35648
2024-03-18;5.32713
2024-03-17;5.32726
2024-03-16;5.32739
2024-03-15;5.35245
2024-03-14;5.36053
2024-03-13;5.36305
2024-03-12;5.33134
2024-03-11;5.35269
2024-03-10;5.35282
2024-03-09;5.35296
2024-03-08;5.34875
2024-03-07;5.3337
2024-03-06;5.31645
2024-03-05;5.3413
2024-03-04;5.34423
2024-03-03;5.34436
2024-03-02;5.34449
2024-03-01;5.31444
2024-02-29;5.3036
2024-02-28;5.30905
2024-02-27;5.31194
2024-02-26;5.33119
2024-02-25;5.33132
2024-02-24;5.33146
2024-02-23;5.31698
2024-02-22;5.25423
2024-02-21;5.25969
2024-02-20;5.29414
2024-02-19;5.30323
2024-02-18;5.30336
2024-02-17;5.30349
2024-02-16;5.30349
2024-02-15;5.28531
2024-02-14;5.2678
2024-02-13;5.25451
2024-02-12;5.2998
2024-02-11;5.25991
2024-02-10;5.26004
2024-02-09;5.26017
2024-02-08;5.25634
2024-02-07;5.25692
2024-02-06;5.24559
2024-02-05;5.22371
2024-02-04;5.21911
2024-02-03;5.21924
2024-02-02;5.21937
2024-02-01;5.17702
2024-01-31;5.18674
2024-01-30;5.20078
2024-01-29;5.19888
2024-01-28;5.18434
2024-01-27;5.18447
2024-01-26;5.1846
2024-01-25;5.18128
2024-01-24;5.1642
2024-01-23;5.13989
2024-01-22;5.13433
2024-01-21;5.0986
2024-01-20;5.09873
2024-01-19;5.09886
2024-01-18;5.08724
2024-01-17;5.06893
2024-01-16;5.10409
