date;marketPrice
2024-08-26;4.96243
2024-08-25;4.96259
2024-08-24;4.96274
2024-08-23;4.95502
2024-08-22;4.95513
2024-08-21;4.95261
2024-08-20;4.96508
2024-08-19;4.95393
2024-08-18;4.95408
2024-08-17;4.95424
2024-08-16;4.94525
2024-08-15;4.88432
2024-08-14;4.87911
2024-08-13;4.84517
2024-08-12;4.83657
2024-08-11;4.83672
2024-08-10;4.83687
2024-08-09;4.82143
2024-08-08;4.81532
2024-08-07;4.75786
2024-08-06;4.73026
2024-08-05;4.82108
2024-08-04;4.82123
2024-08-03;4.82138
2024-08-02;4.96769
2024-08-01;5.00277
2024-07-31;4.9432
2024-07-30;4.9411
2024-07-29;4.9337
2024-07-28;4.9339
2024-07-27;4.934
2024-07-26;4.9241
2024-07-25;4.9445
2024-07-24;5.0051
2024-07-23;4.9738
2024-07-22;4.9575
2024-07-21;4.9576
2024-07-20;4.9578
2024-07-19;4.986
2024-07-18;5.0081
2024-07-17;5.0505
2024-07-16;5.0426
2024-07-15;5.0467
2024-07-14;5.0468
2024-07-13;5.047
2024-07-12;5.0313
2024-07-11;5.0315
2024-07-10;5.014
2024-07-09;5.0116
2024-07-08;5.0016
2024-07-07;5.0017
2024-07-06;5.0019
2024-07-05;5
