date;marketPrice
2025-12-04;5.66752
2025-12-03;5.66295
2025-12-02;5.66067
2025-12-01;5.6761
2025-11-30;5.67628
2025-11-29;5.67645
2025-11-28;5.65982
2025-11-27;5.66355
2025-11-26;5.60927
2025-11-25;5.59784
2025-11-24;5.54226
2025-11-23;5.54243
2025-11-22;5.5426
2025-11-21;5.5961
2025-11-20;5.57408
2025-11-19;5.56713
2025-11-18;5.62831
2025-11-17;5.64999
2025-11-16;5.65016
2025-11-15;5.65034
2025-11-14;5.66087
2025-11-13;5.7114
2025-11-12;5.68798
2025-11-11;5.66527
2025-11-10;5.58402
2025-11-09;5.5842
2025-11-08;5.58437
2025-11-07;5.63692
2025-11-06;5.68817
2025-11-05;5.67937
2025-11-04;5.70416
2025-11-03;5.69642
2025-11-02;5.6966
2025-11-01;5.69677
2025-10-31;5.70482
2025-10-30;5.71567
2025-10-29;5.70212
2025-10-28;5.69451
2025-10-27;5.66749
2025-10-26;5.66766
2025-10-25;5.66784
2025-10-24;5.63341
2025-10-23;5.61713
2025-10-22;5.63807
2025-10-21;5.63144
2025-10-20;5.55623
2025-10-19;5.55641
2025-10-18;5.55658
2025-10-17;5.60535
2025-10-16;5.59249
2025-10-15;5.5531
2025-10-14;5.57488
2025-10-13;5.53669
2025-10-12;5.53686
2025-10-11;5.53703
2025-10-10;5.62195
2025-10-09;5.62875
2025-10-08;5.59643
2025-10-07;5.60875
2025-10-06;5.59664
2025-10-05;5.59681
2025-10-04;5.59699
2025-10-03;5.57454
2025-10-02;5.56236
2025-10-01;5.53028
2025-09-30;5.53571
2025-09-29;5.51638
2025-09-28;5.51656
2025-09-27;5.51673
2025-09-26;5.51648
2025-09-25;5.53187
2025-09-24;5.54607
2025-09-23;5.53646
2025-09-22;5.52689
2025-09-21;5.52706
2025-09-20;5.52724
2025-09-19;5.52987
2025-09-18;5.4964
2025-09-17;5.49146
2025-09-16;5.51517
2025-09-15;5.50239
2025-09-14;5.50256
2025-09-13;5.50273
2025-09-12;5.50312
2025-09-11;5.48363
2025-09-10;5.46004
2025-09-09;5.45781
2025-09-08;5.43016
2025-09-07;5.43033
2025-09-06;5.4305
2025-09-05;5.43801
2025-09-04;5.41294
2025-09-03;5.3833
2025-09-02;5.42913
2025-09-01;5.4199
2025-08-31;5.42006
2025-08-30;5.42023
2025-08-29;5.448
2025-08-28;5.45124
2025-08-27;5.43215
2025-08-26;5.44685
2025-08-25;5.453
2025-08-24;5.45317
2025-08-23;5.45333
2025-08-22;5.41692
2025-08-21;5.40684
2025-08-20;5.42905
2025-08-19;5.43187
2025-08-18;5.42397
2025-08-17;5.42414
2025-08-16;5.42431
2025-08-15;5.43288
2025-08-14;5.43063
2025-08-13;5.41359
2025-08-12;5.4045
2025-08-11;5.38763
2025-08-10;5.3878
2025-08-09;5.38797
2025-08-08;5.37781
2025-08-07;5.36343
2025-08-06;5.34982
2025-08-05;5.35552
2025-08-04;5.30679
2025-08-03;5.30696
2025-08-02;5.30712
2025-08-01;5.41323
2025-07-31;5.40789
2025-07-30;5.39877
2025-07-29;5.38932
2025-07-28;5.3701
2025-07-27;5.37027
2025-07-26;5.37043
2025-07-25;5.3706
2025-07-24;5.36053
2025-07-23;5.32661
2025-07-22;5.35109
2025-07-21;5.33875
2025-07-20;5.33892
2025-07-19;5.33908
2025-07-18;5.34576
2025-07-17;5.27823
2025-07-16;5.32258
2025-07-15;5.3039
2025-07-14;5.30258
2025-07-13;5.30275
2025-07-12;5.30291
2025-07-11;5.32218
2025-07-10;5.29961
2025-07-09;5.28751
2025-07-08;5.28918
2025-07-07;5.28454
2025-07-06;5.2847
2025-07-05;5.28487
2025-07-04;5.31164
2025-07-03;5.27294
2025-07-02;5.26373
2025-07-01;5.26435
2025-06-30;5.27182
2025-06-29;5.27199
2025-06-28;5.27215
2025-06-27;5.24253
2025-06-26;5.23131
2025-06-25;5.23148
2025-06-24;5.18129
2025-06-23;5.18559
2025-06-22;5.18575
2025-06-21;5.18591
2025-06-20;5.16437
2025-06-19;5.20772
2025-06-18;5.20831
2025-06-17;5.2255
2025-06-16;5.20306
2025-06-15;5.20322
2025-06-14;5.20338
2025-06-13;5.22732
2025-06-12;5.25153
2025-06-11;5.24367
2025-06-10;5.23888
2025-06-09;5.23236
