date;marketPrice
2025-09-29;1.63069
2025-09-28;1.63075
2025-09-27;1.63082
2025-09-26;1.62688
2025-09-25;1.62664
2025-09-24;1.62737
2025-09-23;1.62606
2025-09-22;1.62361
2025-09-21;1.62367
2025-09-20;1.62374
2025-09-19;1.62024
2025-09-18;1.62084
2025-09-17;1.62142
2025-09-16;1.62387
2025-09-15;1.62238
2025-09-14;1.62244
2025-09-13;1.62251
2025-09-12;1.62176
2025-09-11;1.61792
2025-09-10;1.6145
2025-09-09;1.61478
2025-09-08;1.61056
2025-09-07;1.61062
2025-09-06;1.61069
2025-09-05;1.6076
2025-09-04;1.60708
2025-09-03;1.60384
2025-09-02;1.6044
2025-09-01;1.60517
2025-08-31;1.60523
2025-08-30;1.6053
2025-08-29;1.60373
2025-08-28;1.60321
2025-08-27;1.60166
2025-08-26;1.60302
2025-08-25;1.6041
2025-08-24;1.60417
2025-08-23;1.60423
2025-08-22;1.59683
2025-08-21;1.5963
2025-08-20;1.59305
2025-08-19;1.59469
2025-08-18;1.59649
2025-08-17;1.59655
2025-08-16;1.59661
2025-08-15;1.59753
2025-08-14;1.59703
2025-08-13;1.59419
2025-08-12;1.5935
2025-08-11;1.59382
2025-08-10;1.59388
2025-08-09;1.59395
2025-08-08;1.59468
2025-08-07;1.59207
2025-08-06;1.59216
2025-08-05;1.55651
2025-08-04;1.55341
2025-08-03;1.55347
2025-08-02;1.55353
2025-08-01;1.55572
2025-07-31;1.55574
2025-07-30;1.56188
2025-07-29;1.55911
2025-07-28;1.55999
2025-07-27;1.56005
2025-07-26;1.56011
2025-07-25;1.56196
2025-07-24;1.56495
2025-07-23;1.56416
2025-07-22;1.56026
2025-07-21;1.55389
2025-07-20;1.55395
2025-07-19;1.55401
2025-07-18;1.55449
2025-07-17;1.55251
2025-07-16;1.55165
2025-07-15;1.55299
2025-07-14;1.55393
2025-07-13;1.55399
2025-07-12;1.55405
2025-07-11;1.55316
2025-07-10;1.5508
2025-07-09;1.5499
2025-07-08;1.55146
2025-07-07;1.55158
2025-07-06;1.55164
2025-07-05;1.5517
2025-07-04;1.5518
2025-07-03;1.54785
2025-07-02;1.54669
2025-07-01;1.54455
2025-06-30;1.54282
2025-06-29;1.54288
2025-06-28;1.54294
2025-06-27;1.54579
2025-06-26;1.5453
2025-06-25;1.54407
2025-06-24;1.54555
2025-06-23;1.54375
2025-06-22;1.54381
2025-06-21;1.54387
2025-06-20;1.54542
2025-06-19;1.54754
2025-06-18;1.54647
2025-06-17;1.54792
2025-06-16;1.54884
2025-06-15;1.5489
2025-06-14;1.54896
2025-06-13;1.54877
2025-06-12;1.54881
2025-06-11;1.54776
2025-06-10;1.54737
2025-06-09;1.54418
2025-06-08;1.54424
2025-06-07;1.5443
2025-06-06;1.54514
2025-06-05;1.54515
2025-06-04;1.54299
2025-06-03;1.5429
2025-06-02;1.53719
2025-06-01;1.53725
2025-05-31;1.53731
2025-05-30;1.54046
2025-05-29;1.53749
2025-05-28;1.53632
2025-05-27;1.53627
2025-05-26;1.53642
2025-05-25;1.53648
2025-05-24;1.53655
2025-05-23;1.53254
2025-05-22;1.53372
2025-05-21;1.53624
2025-05-20;1.53096
2025-05-19;1.53155
2025-05-18;1.53162
2025-05-17;1.53168
2025-05-16;1.53024
2025-05-15;1.52791
2025-05-14;1.5325
2025-05-13;1.53143
2025-05-12;1.53028
2025-05-11;1.53035
2025-05-10;1.53041
2025-05-09;1.52776
2025-05-08;1.52665
2025-05-07;1.52854
2025-05-06;1.52521
2025-05-05;1.52126
2025-05-04;1.52132
2025-05-03;1.52138
2025-05-02;1.51918
2025-05-01;1.52112
2025-04-30;1.52032
2025-04-29;1.52188
2025-04-28;1.51893
2025-04-27;1.51899
2025-04-26;1.51906
2025-04-25;1.51946
2025-04-24;1.51303
2025-04-23;1.50983
2025-04-22;1.51408
2025-04-21;1.50932
2025-04-20;1.50938
2025-04-19;1.50944
2025-04-18;1.50951
2025-04-17;1.50894
2025-04-16;1.50494
2025-04-15;1.50129
2025-04-14;1.49233
2025-04-13;1.49239
2025-04-12;1.49245
2025-04-11;1.49229
2025-04-10;1.48068
2025-04-09;1.48753
2025-04-08;1.48041
2025-04-07;1.49692
2025-04-06;1.49698
2025-04-05;1.49704
2025-04-04;1.51741
2025-04-03;1.53366
2025-04-02;1.53555
2025-04-01;1.53217
2025-03-31;1.53458
2025-03-30;1.53465
2025-03-29;1.53472
2025-03-28;1.53736
2025-03-27;1.53452
2025-03-26;1.53459
2025-03-25;1.53325
2025-03-24;1.53199
2025-03-23;1.53206
2025-03-22;1.53212
2025-03-21;1.53569
2025-03-20;1.54367
2025-03-19;1.54247
2025-03-18;1.53945
2025-03-17;1.53119
2025-03-16;1.53125
2025-03-15;1.53132
2025-03-14;1.53147
2025-03-13;1.51773
2025-03-12;1.51764
2025-03-11;1.52086
2025-03-10;1.52603
2025-03-09;1.5261
2025-03-08;1.52616
2025-03-07;1.52895
2025-03-06;1.53042
2025-03-05;1.53498
2025-03-04;1.5426
2025-03-03;1.53995
2025-03-02;1.54002
2025-03-01;1.54008
2025-02-28;1.54119
2025-02-27;1.54393
2025-02-26;1.53899
2025-02-25;1.54407
2025-02-24;1.54836
2025-02-23;1.54842
2025-02-22;1.54849
