date;marketPrice
2025-03-25;6.89994
2025-03-24;6.89105
2025-03-23;6.89139
2025-03-22;6.89173
2025-03-21;6.91478
2025-03-20;6.96345
2025-03-19;6.95825
2025-03-18;6.93691
2025-03-17;6.88686
2025-03-16;6.8872
2025-03-15;6.88754
2025-03-14;6.88853
2025-03-13;6.8028
2025-03-12;6.80234
2025-03-11;6.82287
2025-03-10;6.85439
2025-03-09;6.85472
2025-03-08;6.85506
2025-03-07;6.8753
2025-03-06;6.87898
2025-03-05;6.89423
2025-03-04;6.94398
2025-03-03;6.92054
2025-03-02;6.92088
2025-03-01;6.92122
2025-02-28;6.93964
2025-02-27;6.95818
2025-02-26;6.92919
2025-02-25;6.96139
2025-02-24;6.98911
2025-02-23;6.98946
2025-02-22;6.9898
2025-02-21;6.98858
2025-02-20;6.98425
2025-02-19;6.96333
2025-02-18;6.94418
2025-02-17;6.94314
2025-02-16;6.94349
2025-02-15;6.94383
2025-02-14;6.9655
2025-02-13;6.95775
2025-02-12;6.96959
2025-02-11;6.98441
2025-02-10;6.94725
2025-02-09;6.9476
2025-02-08;6.94794
2025-02-07;6.94503
2025-02-06;6.92355
2025-02-05;6.92588
2025-02-04;6.91761
2025-02-03;6.90384
2025-02-02;6.90418
2025-02-01;6.91035
2025-01-31;6.90231
2025-01-30;6.85386
2025-01-29;6.83752
2025-01-28;6.80862
2025-01-27;6.84371
2025-01-26;6.84404
2025-01-25;6.84438
2025-01-24;6.83865
2025-01-23;6.83657
2025-01-22;6.84032
2025-01-21;6.82656
2025-01-20;6.82498
2025-01-19;6.82532
2025-01-18;6.82566
2025-01-17;6.81795
2025-01-16;6.80245
2025-01-15;6.77346
2025-01-14;6.75897
2025-01-13;6.78096
2025-01-12;6.7813
2025-01-11;6.78163
2025-01-10;6.77811
2025-01-09;6.78218
2025-01-08;6.76691
2025-01-07;6.76354
2025-01-06;6.76108
2025-01-05;6.76141
2025-01-04;6.76175
2025-01-03;6.76667
2025-01-02;6.71375
2025-01-01;6.71408
2024-12-31;6.70037
2024-12-30;6.71432
2024-12-29;6.71465
2024-12-28;6.71498
2024-12-27;6.73067
2024-12-26;6.72433
2024-12-25;6.72464
2024-12-24;6.71697
2024-12-23;6.71764
2024-12-22;6.71797
2024-12-21;6.7183
2024-12-20;6.71212
2024-12-19;6.75222
2024-12-18;6.77377
2024-12-17;6.79065
2024-12-16;6.80467
2024-12-15;6.805
2024-12-14;6.80478
2024-12-13;6.83482
2024-12-12;6.85645
2024-12-11;6.84297
2024-12-10;6.84263
2024-12-09;6.80571
2024-12-08;6.80605
2024-12-07;6.80638
2024-12-06;6.82283
2024-12-05;6.83073
2024-12-04;6.83085
2024-12-03;6.80655
2024-12-02;6.79681
2024-12-01;6.79714
2024-11-30;6.79748
2024-11-29;6.77785
2024-11-28;6.77205
2024-11-27;6.76314
2024-11-26;6.76687
