date;marketPrice
2025-04-28;6.94699
2025-04-27;6.94722
2025-04-26;6.94745
2025-04-25;6.9486
2025-04-24;6.92073
2025-04-23;6.90607
2025-04-22;6.92393
2025-04-21;6.90042
2025-04-20;6.90064
2025-04-19;6.90087
2025-04-18;6.9011
2025-04-17;6.89395
2025-04-16;6.87894
2025-04-15;6.87251
2025-04-14;6.84183
2025-04-13;6.84206
2025-04-12;6.84228
2025-04-11;6.85699
2025-04-10;6.81534
2025-04-09;6.83309
2025-04-08;6.81738
2025-04-07;6.86949
2025-04-06;6.86971
2025-04-05;6.86994
2025-04-04;6.92586
2025-04-03;6.97655
2025-04-02;6.9795
2025-04-01;6.96993
2025-03-31;6.9763
2025-03-30;6.97657
2025-03-29;6.9768
2025-03-28;6.9838
2025-03-27;6.97081
2025-03-26;6.97044
2025-03-25;6.96791
2025-03-24;6.96462
2025-03-23;6.96485
2025-03-22;6.96508
2025-03-21;6.97517
2025-03-20;7.01079
2025-03-19;7.00744
2025-03-18;7.00132
2025-03-17;6.97283
2025-03-16;6.97306
2025-03-15;6.97329
2025-03-14;6.97843
2025-03-13;6.92713
2025-03-12;6.93268
2025-03-11;6.94101
2025-03-10;6.95315
2025-03-09;6.95339
2025-03-08;6.95364
2025-03-07;6.96086
2025-03-06;6.9696
2025-03-05;6.99464
2025-03-04;7.01414
2025-03-03;7.01208
2025-03-02;7.01232
2025-03-01;7.01255
2025-02-28;7.0063
2025-02-27;7.01625
2025-02-26;7.00179
2025-02-25;7.01613
2025-02-24;7.02512
2025-02-23;7.02535
2025-02-22;7.02559
2025-02-21;7.0208
2025-02-20;7.01783
2025-02-19;6.99891
2025-02-18;6.98761
2025-02-17;6.98858
2025-02-16;6.98882
2025-02-15;6.98905
2025-02-14;6.99768
2025-02-13;6.99038
2025-02-12;7.00032
2025-02-11;7.01093
2025-02-10;6.99343
2025-02-09;6.99367
2025-02-08;6.9939
2025-02-07;6.99597
2025-02-06;6.98279
2025-02-05;6.98167
2025-02-04;6.97896
2025-02-03;6.96144
2025-02-02;6.96167
2025-02-01;6.96816
2025-01-31;6.93845
2025-01-30;6.91843
2025-01-29;6.91511
2025-01-28;6.90181
2025-01-27;6.90882
2025-01-26;6.90905
2025-01-25;6.90928
2025-01-24;6.9074
2025-01-23;6.90421
2025-01-22;6.90813
2025-01-21;6.9015
2025-01-20;6.89714
2025-01-19;6.89736
2025-01-18;6.89759
2025-01-17;6.89598
2025-01-16;6.88944
2025-01-15;6.86087
2025-01-14;6.85213
2025-01-13;6.86946
2025-01-12;6.86968
2025-01-11;6.86989
2025-01-10;6.87737
2025-01-09;6.88255
2025-01-08;6.87605
2025-01-07;6.87732
2025-01-06;6.8741
2025-01-05;6.87431
2025-01-04;6.87453
2025-01-03;6.87859
2025-01-02;6.85044
2025-01-01;6.85065
2024-12-31;6.84045
2024-12-30;6.84368
2024-12-29;6.84389
2024-12-28;6.8441
2024-12-27;6.86097
2024-12-26;6.85727
2024-12-25;6.85748
2024-12-24;6.85172
2024-12-23;6.85566
2024-12-22;6.85587
2024-12-21;6.85608
2024-12-20;6.84393
2024-12-19;6.86611
2024-12-18;6.88244
2024-12-17;6.89115
2024-12-16;6.89945
2024-12-15;6.89967
2024-12-14;6.89948
2024-12-13;6.91632
2024-12-12;6.93202
2024-12-11;6.92744
2024-12-10;6.92132
2024-12-09;6.90322
2024-12-08;6.90344
2024-12-07;6.90365
2024-12-06;6.91444
2024-12-05;6.91382
2024-12-04;6.91071
2024-12-03;6.90164
2024-12-02;6.89376
