date;marketPrice
2025-03-28;5.76896
2025-03-27;5.75129
2025-03-26;5.7491
2025-03-25;5.74528
2025-03-24;5.72141
2025-03-23;5.72167
2025-03-22;5.72194
2025-03-21;5.75415
2025-03-20;5.78273
2025-03-19;5.77553
2025-03-18;5.7365
2025-03-17;5.69601
2025-03-16;5.69627
2025-03-15;5.69653
2025-03-14;5.69057
2025-03-13;5.6127
2025-03-12;5.61112
2025-03-11;5.65162
2025-03-10;5.67996
2025-03-09;5.68022
2025-03-08;5.68048
2025-03-07;5.71476
2025-03-06;5.68999
2025-03-05;5.68966
2025-03-04;5.77595
2025-03-03;5.74429
2025-03-02;5.74455
2025-03-01;5.74481
2025-02-28;5.79405
2025-02-27;5.81224
2025-02-26;5.7629
2025-02-25;5.81114
2025-02-24;5.86206
2025-02-23;5.86233
2025-02-22;5.86259
2025-02-21;5.85886
2025-02-20;5.85624
2025-02-19;5.83751
2025-02-18;5.82356
2025-02-17;5.81573
2025-02-16;5.81599
2025-02-15;5.81625
2025-02-14;5.84237
2025-02-13;5.83688
2025-02-12;5.85162
2025-02-11;5.8684
2025-02-10;5.81419
2025-02-09;5.81445
2025-02-08;5.81472
2025-02-07;5.80836
2025-02-06;5.78099
2025-02-05;5.78375
2025-02-04;5.77057
2025-02-03;5.77142
2025-02-02;5.77168
2025-02-01;5.77194
2025-01-31;5.75564
2025-01-30;5.68908
2025-01-29;5.65929
2025-01-28;5.61979
2025-01-27;5.67552
2025-01-26;5.67577
2025-01-25;5.67603
2025-01-24;5.66714
2025-01-23;5.66323
2025-01-22;5.66856
2025-01-21;5.65843
2025-01-20;5.66192
2025-01-19;5.66217
2025-01-18;5.66243
2025-01-17;5.63964
2025-01-16;5.62079
2025-01-15;5.58431
2025-01-14;5.56389
2025-01-13;5.58416
2025-01-12;5.58441
2025-01-11;5.58466
2025-01-10;5.57685
2025-01-09;5.57961
2025-01-08;5.56293
2025-01-07;5.56338
2025-01-06;5.5625
2025-01-05;5.56276
2025-01-04;5.56301
2025-01-03;5.5647
2025-01-02;5.48053
2025-01-01;5.48078
2024-12-31;5.4646
2024-12-30;5.48864
2024-12-29;5.48889
2024-12-28;5.48914
2024-12-27;5.49764
2024-12-26;5.49038
2024-12-25;5.49063
2024-12-24;5.47753
2024-12-23;5.46192
2024-12-22;5.46216
2024-12-21;5.46241
2024-12-20;5.46805
2024-12-19;5.54106
2024-12-18;5.55865
2024-12-17;5.58903
2024-12-16;5.61713
2024-12-15;5.61738
2024-12-14;5.61737
2024-12-13;5.66091
2024-12-12;5.68684
2024-12-11;5.66267
2024-12-10;5.67632
2024-12-09;5.62522
2024-12-08;5.62548
2024-12-07;5.62573
2024-12-06;5.64267
2024-12-05;5.65816
2024-12-04;5.67134
2024-12-03;5.6328
2024-12-02;5.62174
2024-12-01;5.622
2024-11-30;5.62225
2024-11-29;5.60805
2024-11-28;5.60008
2024-11-27;5.59509
2024-11-26;5.60121
2024-11-25;5.6406
2024-11-24;5.64085
2024-11-23;5.64111
2024-11-22;5.58606
2024-11-21;5.5549
2024-11-20;5.53568
2024-11-19;5.54357
2024-11-18;5.4984
2024-11-17;5.49865
2024-11-16;5.4989
2024-11-15;5.52541
2024-11-14;5.5161
2024-11-13;5.53206
2024-11-12;5.5781
2024-11-11;5.58321
2024-11-10;5.58347
2024-11-09;5.58372
2024-11-08;5.62276
2024-11-07;5.55953
2024-11-06;5.55284
2024-11-05;5.54561
2024-11-04;5.55052
2024-11-03;5.55077
2024-11-02;5.55102
2024-11-01;5.53927
2024-10-31;5.60198
2024-10-30;5.63575
2024-10-29;5.63242
2024-10-28;5.62919
2024-10-27;5.62945
2024-10-26;5.6297
2024-10-25;5.63006
2024-10-24;5.65223
2024-10-23;5.67887
2024-10-22;5.66414
2024-10-21;5.66742
2024-10-20;5.66768
2024-10-19;5.66794
2024-10-18;5.63373
2024-10-17;5.62214
2024-10-16;5.60197
2024-10-15;5.62398
2024-10-14;5.62261
2024-10-13;5.62286
2024-10-12;5.62312
2024-10-11;5.59807
2024-10-10;5.57688
2024-10-09;5.56377
2024-10-08;5.62866
2024-10-07;5.62466
2024-10-06;5.62491
2024-10-05;5.62517
2024-10-04;5.60233
2024-10-03;5.59159
2024-10-02;5.58324
2024-10-01;5.53919
2024-09-30;5.57431
2024-09-29;5.57457
2024-09-28;5.57482
2024-09-27;5.57351
2024-09-26;5.51304
2024-09-25;5.52844
2024-09-24;5.48107
2024-09-23;5.45527
2024-09-22;5.45552
2024-09-21;5.45577
2024-09-20;5.46517
2024-09-19;5.42291
2024-09-18;5.42314
2024-09-17;5.40622
2024-09-16;5.40711
2024-09-15;5.40736
2024-09-14;5.4076
2024-09-13;5.37668
2024-09-12;5.31605
2024-09-11;5.31452
2024-09-10;5.31252
2024-09-09;5.29459
2024-09-08;5.29483
2024-09-07;5.29507
2024-09-06;5.35019
2024-09-05;5.35727
2024-09-04;5.38361
2024-09-03;5.43127
2024-09-02;5.43378
2024-09-01;5.43403
2024-08-31;5.43666
2024-08-30;5.43328
2024-08-29;5.39642
2024-08-28;5.4212
2024-08-27;5.42646
2024-08-26;5.43382
2024-08-25;5.43407
2024-08-24;5.43432
2024-08-23;5.3936
2024-08-22;5.4135
2024-08-21;5.40584
2024-08-20;5.43301
2024-08-19;5.40601
2024-08-18;5.40626
2024-08-17;5.4065
2024-08-16;5.36252
2024-08-15;5.29985
2024-08-14;5.3114
2024-08-13;5.30301
2024-08-12;5.27684
2024-08-11;5.27708
2024-08-10;5.27732
2024-08-09;5.25461
2024-08-08;5.26386
2024-08-07;5.21024
2024-08-06;5.21955
2024-08-05;5.30462
2024-08-04;5.30486
2024-08-03;5.30511
2024-08-02;5.43393
2024-08-01;5.48787
2024-07-31;5.41579
2024-07-30;5.40435
2024-07-29;5.40029
2024-07-28;5.40053
2024-07-27;5.40078
2024-07-26;5.37907
2024-07-25;5.46452
2024-07-24;5.48201
2024-07-23;5.48355
2024-07-22;5.4769
2024-07-21;5.47715
2024-07-20;5.47739
2024-07-19;5.51826
2024-07-18;5.5277
2024-07-17;5.55819
2024-07-16;5.5373
2024-07-15;5.54949
2024-07-14;5.54974
2024-07-13;5.54999
2024-07-12;5.54547
2024-07-11;5.50236
2024-07-10;5.47424
2024-07-09;5.47237
2024-07-08;5.48231
2024-07-07;5.48255
2024-07-06;5.4828
2024-07-05;5.47815
2024-07-04;5.4451
