date;marketPrice
2025-09-19;5.39429
2025-09-18;5.39762
2025-09-17;5.3958
2025-09-16;5.40009
2025-09-15;5.39686
2025-09-14;5.39697
2025-09-13;5.39708
2025-09-12;5.39534
2025-09-11;5.38829
2025-09-10;5.38096
2025-09-09;5.38145
2025-09-08;5.3705
2025-09-07;5.37061
2025-09-06;5.37072
2025-09-05;5.3655
2025-09-04;5.3636
2025-09-03;5.35492
2025-09-02;5.36134
2025-09-01;5.36289
2025-08-31;5.363
2025-08-30;5.36314
2025-08-29;5.36253
2025-08-28;5.36038
2025-08-27;5.3568
2025-08-26;5.36225
2025-08-25;5.36441
2025-08-24;5.36452
2025-08-23;5.36463
2025-08-22;5.34835
2025-08-21;5.35094
2025-08-20;5.34539
2025-08-19;5.34822
2025-08-18;5.35247
2025-08-17;5.35257
2025-08-16;5.35268
2025-08-15;5.35853
2025-08-14;5.35783
2025-08-13;5.35163
2025-08-12;5.35324
2025-08-11;5.35353
2025-08-10;5.35363
2025-08-09;5.35374
2025-08-08;5.35726
2025-08-07;5.35206
2025-08-06;5.3559
2025-08-05;5.24874
2025-08-04;5.23935
2025-08-03;5.23945
2025-08-02;5.23956
2025-08-01;5.24866
2025-07-31;5.24988
2025-07-30;5.25606
2025-07-29;5.24959
2025-07-28;5.25063
2025-07-27;5.25074
2025-07-26;5.25084
2025-07-25;5.25493
2025-07-24;5.26462
2025-07-23;5.25832
2025-07-22;5.25485
2025-07-21;5.24302
2025-07-20;5.24313
2025-07-19;5.24324
2025-07-18;5.24451
2025-07-17;5.23707
2025-07-16;5.23757
2025-07-15;5.23359
2025-07-14;5.23493
2025-07-13;5.23504
2025-07-12;5.23514
2025-07-11;5.2322
2025-07-10;5.2291
2025-07-09;5.22488
2025-07-08;5.22764
2025-07-07;5.22833
2025-07-06;5.22843
2025-07-05;5.22854
2025-07-04;5.23086
2025-07-03;5.21428
2025-07-02;5.21696
2025-07-01;5.21234
2025-06-30;5.21351
2025-06-29;5.21362
2025-06-28;5.21373
2025-06-27;5.21562
2025-06-26;5.21513
2025-06-25;5.21411
2025-06-24;5.21952
2025-06-23;5.21555
2025-06-22;5.21565
2025-06-21;5.21576
2025-06-20;5.21953
2025-06-19;5.22785
2025-06-18;5.22278
2025-06-17;5.22342
2025-06-16;5.22179
2025-06-15;5.2219
2025-06-14;5.22201
2025-06-13;5.22671
2025-06-12;5.22787
2025-06-11;5.22896
2025-06-10;5.22573
2025-06-09;5.22041
2025-06-08;5.22052
2025-06-07;5.22062
2025-06-06;5.21525
2025-06-05;5.21711
2025-06-04;5.21467
2025-06-03;5.21087
2025-06-02;5.20458
2025-06-01;5.20469
2025-05-31;5.20479
2025-05-30;5.20974
2025-05-29;5.20579
2025-05-28;5.20396
2025-05-27;5.2014
2025-05-26;5.19799
2025-05-25;5.19809
2025-05-24;5.1982
2025-05-23;5.19218
2025-05-22;5.19403
2025-05-21;5.20342
2025-05-20;5.19436
2025-05-19;5.19773
2025-05-18;5.19784
2025-05-17;5.19795
2025-05-16;5.19331
2025-05-15;5.18684
2025-05-14;5.19533
2025-05-13;5.19218
2025-05-12;5.18262
2025-05-11;5.18273
2025-05-10;5.18283
2025-05-09;5.18423
2025-05-08;5.1791
2025-05-07;5.1814
2025-05-06;5.17155
2025-05-05;5.16964
2025-05-04;5.16974
2025-05-03;5.16985
2025-05-02;5.16174
2025-05-01;5.16716
2025-04-30;5.16381
2025-04-29;5.16496
2025-04-28;5.1589
2025-04-27;5.159
2025-04-26;5.1591
2025-04-25;5.15953
2025-04-24;5.14351
2025-04-23;5.13405
2025-04-22;5.12696
2025-04-21;5.12205
2025-04-20;5.12216
2025-04-19;5.12227
2025-04-18;5.12238
2025-04-17;5.12078
2025-04-16;5.11617
2025-04-15;5.10356
2025-04-14;5.07975
2025-04-13;5.07986
2025-04-12;5.07997
2025-04-11;5.09111
2025-04-10;5.06541
2025-04-09;5.08844
2025-04-08;5.06964
2025-04-07;5.10881
2025-04-06;5.10892
2025-04-05;5.10903
2025-04-04;5.1517
2025-04-03;5.1896
2025-04-02;5.19611
2025-04-01;5.18587
2025-03-31;5.18978
2025-03-30;5.18991
2025-03-29;5.19001
2025-03-28;5.19647
2025-03-27;5.19363
2025-03-26;5.19463
2025-03-25;5.19081
2025-03-24;5.18373
2025-03-23;5.18383
2025-03-22;5.18393
2025-03-21;5.18817
2025-03-20;5.1846
2025-03-19;5.17957
2025-03-18;5.17673
2025-03-17;5.16215
2025-03-16;5.16225
2025-03-15;5.16235
2025-03-14;5.16374
2025-03-13;5.15541
2025-03-12;5.1511
2025-03-11;5.16236
2025-03-10;5.17304
2025-03-09;5.17314
2025-03-08;5.17324
2025-03-07;5.18142
2025-03-06;5.19179
2025-03-05;5.21375
2025-03-04;5.23392
2025-03-03;5.23306
2025-03-02;5.23316
2025-03-01;5.23326
2025-02-28;5.23036
2025-02-27;5.23231
2025-02-26;5.21978
2025-02-25;5.23024
2025-02-24;5.2408
2025-02-23;5.2409
2025-02-22;5.24101
2025-02-21;5.23972
2025-02-20;5.24165
2025-02-19;5.23243
2025-02-18;5.22544
2025-02-17;5.22497
2025-02-16;5.22507
2025-02-15;5.22517
2025-02-14;5.22803
2025-02-13;5.22344
2025-02-12;5.23096
2025-02-11;5.23833
2025-02-10;5.22777
2025-02-09;5.22787
2025-02-08;5.22796
2025-02-07;5.22675
2025-02-06;5.21943
2025-02-05;5.21625
2025-02-04;5.21422
2025-02-03;5.20435
2025-02-02;5.20445
2025-02-01;5.20904
2025-01-31;5.1931
2025-01-30;5.17939
2025-01-29;5.17305
2025-01-28;5.16303
2025-01-27;5.17356
2025-01-26;5.17364
2025-01-25;5.17373
2025-01-24;5.17548
2025-01-23;5.17597
2025-01-22;5.17285
2025-01-21;5.17017
2025-01-20;5.16964
2025-01-19;5.16972
2025-01-18;5.16981
2025-01-17;5.1644
2025-01-16;5.15657
2025-01-15;5.13979
2025-01-14;5.13965
2025-01-13;5.14706
2025-01-12;5.14715
2025-01-11;5.14723
2025-01-10;5.14984
2025-01-09;5.15118
2025-01-08;5.1478
2025-01-07;5.14967
2025-01-06;5.15077
2025-01-05;5.15085
2025-01-04;5.15094
2025-01-03;5.15456
2025-01-02;5.13256
2025-01-01;5.13265
2024-12-31;5.12825
2024-12-30;5.13257
2024-12-29;5.13265
2024-12-28;5.13274
2024-12-27;5.13883
2024-12-26;5.13702
2024-12-25;5.13711
2024-12-24;5.13365
2024-12-23;5.13199
2024-12-22;5.13208
2024-12-21;5.13218
2024-12-20;5.13109
2024-12-19;5.15174
2024-12-18;5.15367
2024-12-17;5.16135
2024-12-16;5.16602
2024-12-15;5.1661
2024-12-14;5.16612
2024-12-13;5.17705
2024-12-12;5.18732
2024-12-11;5.18139
2024-12-10;5.17913
2024-12-09;5.16857
2024-12-08;5.16865
2024-12-07;5.16874
2024-12-06;5.17224
2024-12-05;5.17497
2024-12-04;5.17256
2024-12-03;5.16641
2024-12-02;5.15872
2024-12-01;5.15881
2024-11-30;5.15889
2024-11-29;5.14791
2024-11-28;5.14314
2024-11-27;5.14301
2024-11-26;5.14298
2024-11-25;5.15299
2024-11-24;5.15307
2024-11-23;5.1557
2024-11-22;5.13337
2024-11-21;5.12681
2024-11-20;5.1211
2024-11-19;5.12376
2024-11-18;5.11919
2024-11-17;5.11928
2024-11-16;5.11937
2024-11-15;5.12573
2024-11-14;5.11951
2024-11-13;5.12467
2024-11-12;5.12954
2024-11-11;5.1241
2024-11-10;5.12419
2024-11-09;5.12428
2024-11-08;5.12352
2024-11-07;5.11256
2024-11-06;5.10888
2024-11-05;5.10737
2024-11-04;5.10656
2024-11-03;5.10665
2024-11-02;5.10675
2024-11-01;5.10382
