date;marketPrice
2023-04-13;4.56032
2023-04-12;4.56032
2023-04-11;4.56032
2023-04-10;4.56032
2023-04-09;4.56032
2023-04-08;4.56032
2023-04-07;4.56032
2023-04-06;4.56032
2023-04-05;4.56032
2023-04-04;4.56032
2023-04-03;4.56032
2023-04-02;4.56032
2023-04-01;4.56032
2023-03-31;4.56032
2023-03-30;4.56032
2023-03-29;4.56032
2023-03-28;4.56032
2023-03-27;4.56032
2023-03-26;4.56032
2023-03-25;4.56032
2023-03-24;4.56032
2023-03-23;4.56032
2023-03-22;4.56032
2023-03-21;4.56032
2023-03-20;4.56032
2023-03-19;4.56245
2023-03-18;4.56501
2023-03-17;4.56518
2023-03-16;4.56535
2023-03-15;4.56573
2023-03-14;4.56584
2023-03-13;4.55956
2023-03-12;4.5708
2023-03-11;4.57097
2023-03-10;4.57115
2023-03-09;4.5813
2023-03-08;4.58595
2023-03-07;4.59106
2023-03-06;4.59839
2023-03-05;4.58779
2023-03-04;4.58796
2023-03-03;4.58813
2023-03-02;4.57196
2023-03-01;4.57315
2023-02-28;4.58783
2023-02-27;4.59201
2023-02-26;4.58852
2023-02-25;4.58869
2023-02-24;4.58886
2023-02-23;4.59635
2023-02-22;4.59342
2023-02-21;4.6058
2023-02-20;4.62101
2023-02-19;4.62175
2023-02-18;4.62192
2023-02-17;4.62209
2023-02-16;4.63469
2023-02-15;4.63399
2023-02-14;4.63265
2023-02-13;4.63695
2023-02-12;4.63352
2023-02-11;4.63369
2023-02-10;4.63387
2023-02-09;4.64937
2023-02-08;4.64763
2023-02-07;4.64696
2023-02-06;4.651
2023-02-05;4.66632
2023-02-04;4.66649
2023-02-03;4.66667
2023-02-02;4.66098
2023-02-01;4.62962
2023-01-31;4.62086
2023-01-30;4.62223
2023-01-29;4.62726
2023-01-28;4.62744
2023-01-27;4.62761
2023-01-26;4.62725
2023-01-25;4.61191
2023-01-24;4.61272
2023-01-23;4.60833
2023-01-22;4.59681
2023-01-21;4.59698
2023-01-20;4.59715
2023-01-19;4.59549
2023-01-18;4.6062
2023-01-17;4.60093
2023-01-16;4.59984
2023-01-15;4.59392
2023-01-14;4.59409
2023-01-13;4.59426
2023-01-12;4.58278
2023-01-11;4.56871
2023-01-10;4.55529
2023-01-09;4.53989
2023-01-08;4.5417
2023-01-07;4.54187
