date;marketPrice
2026-03-16;4.85901
2026-03-15;4.85916
2026-03-14;4.85931
2026-03-13;4.87224
2026-03-12;4.92607
2026-03-11;4.92132
2026-03-10;4.93214
2026-03-09;4.88035
2026-03-08;4.88036
2026-03-07;4.88037
2026-03-06;4.90041
2026-03-05;4.97064
2026-03-04;4.94827
2026-03-03;5.01713
2026-03-02;5.01591
2026-03-01;5.01607
2026-02-28;5.01623
2026-02-27;5.02646
2026-02-26;5.04693
2026-02-25;5.04072
2026-02-24;5.02026
2026-02-23;5.03381
2026-02-22;5.03396
2026-02-21;5.03412
2026-02-20;5.0075
2026-02-19;4.98582
2026-02-18;4.98945
2026-02-17;4.99379
