date;marketPrice
2026-07-10;5.5805
2026-07-09;5.54475
2026-07-08;5.51259
2026-07-07;5.54129
2026-07-06;5.5057
2026-07-05;5.50571
2026-07-04;5.50578
2026-07-03;5.52377
2026-07-02;5.5501
2026-07-01;5.65632
2026-06-30;5.66173
2026-06-29;5.63222
2026-06-28;5.63221
2026-06-27;5.63221
2026-06-26;5.68639
2026-06-25;5.59957
2026-06-24;5.62015
2026-06-23;5.68038
2026-06-22;5.62495
2026-06-21;5.62495
2026-06-20;5.62495
2026-06-19;5.62575
2026-06-18;5.57458
2026-06-17;5.62296
2026-06-16;5.68313
2026-06-15;5.66748
2026-06-14;5.66748
2026-06-13;5.66748
2026-06-12;5.64223
2026-06-11;5.56085
2026-06-10;5.5825
2026-06-09;5.59066
2026-06-08;5.51527
2026-06-07;5.51527
2026-06-06;5.51527
2026-06-05;5.62266
2026-06-04;5.67308
2026-06-03;5.65018
2026-06-02;5.59723
2026-06-01;5.55148
2026-05-31;5.55148
2026-05-30;5.55148
2026-05-29;5.52811
2026-05-28;5.52362
2026-05-27;5.54635
2026-05-26;5.45944
2026-05-25;5.47488
2026-05-24;5.47489
2026-05-23;5.47489
2026-05-22;5.45503
2026-05-21;5.43467
2026-05-20;5.37479
2026-05-19;5.37421
2026-05-18;5.40354
2026-05-17;5.40354
2026-05-16;5.40354
2026-05-15;5.47595
2026-05-14;5.49194
2026-05-13;5.4811
2026-05-12;5.49916
2026-05-11;5.45752
2026-05-10;5.45752
2026-05-09;5.45753
2026-05-08;5.36515
2026-05-07;5.44177
2026-05-06;5.38452
2026-05-05;5.31024
2026-05-04;5.30407
2026-05-03;5.30407
2026-05-02;5.30408
2026-05-01;5.30928
2026-04-30;5.19207
2026-04-29;5.20168
2026-04-28;5.233
2026-04-27;5.25774
2026-04-26;5.22844
2026-04-25;5.22844
2026-04-24;5.18551
2026-04-23;5.16101
2026-04-22;5.13228
2026-04-21;5.16825
2026-04-20;5.15581
2026-04-19;5.15582
2026-04-18;5.15582
2026-04-17;5.13451
2026-04-16;5.12448
2026-04-15;5.12724
2026-04-14;5.12913
2026-04-13;5.09946
2026-04-12;5.09946
2026-04-11;5.09947
2026-04-10;5.08856
2026-04-09;5.03492
2026-04-08;4.97652
2026-04-07;4.97785
2026-04-06;4.97615
2026-04-05;4.97616
2026-04-04;4.97617
2026-04-03;4.99063
2026-04-02;4.91569
2026-04-01;4.90245
2026-03-31;4.8088
2026-03-30;4.8616
2026-03-29;4.86162
2026-03-28;4.86163
2026-03-27;4.86001
2026-03-26;4.93934
2026-03-25;4.93852
2026-03-24;4.89613
2026-03-23;4.83946
2026-03-22;4.83948
2026-03-21;4.83949
2026-03-20;4.96626
2026-03-19;4.9201
2026-03-18;4.96567
2026-03-17;4.94417
2026-03-16;4.86131
2026-03-15;4.86132
2026-03-14;4.86134
2026-03-13;4.87412
2026-03-12;4.92784
2026-03-11;4.92258
2026-03-10;4.93287
2026-03-09;4.88054
2026-03-08;4.88055
2026-03-07;4.88057
2026-03-06;4.9006
2026-03-05;4.9707
2026-03-04;4.94818
2026-03-03;5.0169
2026-03-02;5.01554
2026-03-01;5.01556
2026-02-28;5.01557
2026-02-27;5.02463
2026-02-26;5.03921
2026-02-25;5.02052
2026-02-24;5.01761
2026-02-23;5.02918
2026-02-22;5.02919
2026-02-21;5.0292
2026-02-20;5.00669
2026-02-19;4.9861
2026-02-18;4.98959
2026-02-17;4.99379
