date;marketPrice
2026-04-06;4.9787
2026-04-05;4.97871
2026-04-04;4.97872
2026-04-03;4.99318
2026-04-02;4.91821
2026-04-01;4.90496
2026-03-31;4.81126
2026-03-30;4.8641
2026-03-29;4.86411
2026-03-28;4.86412
2026-03-27;4.8625
2026-03-26;4.94187
2026-03-25;4.94105
2026-03-24;4.89864
2026-03-23;4.84194
2026-03-22;4.84196
2026-03-21;4.84197
2026-03-20;4.9688
2026-03-19;4.92262
2026-03-18;4.96821
2026-03-17;4.9467
2026-03-16;4.8638
2026-03-15;4.86381
2026-03-14;4.86383
2026-03-13;4.87662
2026-03-12;4.93037
2026-03-11;4.9251
2026-03-10;4.9354
2026-03-09;4.88304
2026-03-08;4.88305
2026-03-07;4.88307
2026-03-06;4.90311
2026-03-05;4.97324
2026-03-04;4.95072
2026-03-03;5.01947
2026-03-02;5.01811
2026-03-01;5.01813
2026-02-28;5.01814
2026-02-27;5.02742
2026-02-26;5.04323
2026-02-25;5.02751
2026-02-24;5.01906
2026-02-23;5.03103
2026-02-22;5.03104
2026-02-21;5.03105
2026-02-20;5.00711
2026-02-19;4.9861
2026-02-18;4.98959
2026-02-17;4.99379
