date;marketPrice
2025-09-16;5.35649
2025-09-15;5.34741
2025-09-14;5.34767
2025-09-13;5.34794
2025-09-12;5.35497
2025-09-11;5.32676
2025-09-10;5.31612
2025-09-09;5.31975
2025-09-08;5.3097
2025-09-07;5.30997
2025-09-06;5.31023
2025-09-05;5.31702
2025-09-04;5.29314
2025-09-03;5.28045
2025-09-02;5.31051
2025-09-01;5.31142
2025-08-31;5.31168
2025-08-30;5.31194
2025-08-29;5.33663
2025-08-28;5.36162
2025-08-27;5.3541
2025-08-26;5.36521
2025-08-25;5.35819
2025-08-24;5.35846
2025-08-23;5.35872
2025-08-22;5.34762
2025-08-21;5.33419
2025-08-20;5.32873
2025-08-19;5.32423
2025-08-18;5.30736
2025-08-17;5.30762
2025-08-16;5.30789
2025-08-15;5.3186
2025-08-14;5.31586
2025-08-13;5.30636
2025-08-12;5.30248
2025-08-11;5.28477
2025-08-10;5.28503
2025-08-09;5.2853
2025-08-08;5.28568
2025-08-07;5.27478
2025-08-06;5.2856
2025-08-05;5.28642
2025-08-04;5.27559
2025-08-03;5.27585
2025-08-02;5.27611
2025-08-01;5.34013
2025-07-31;5.33738
2025-07-30;5.32645
2025-07-29;5.29238
2025-07-28;5.26953
2025-07-27;5.26979
2025-07-26;5.27005
2025-07-25;5.26982
2025-07-24;5.27216
2025-07-23;5.25607
2025-07-22;5.27265
2025-07-21;5.26891
2025-07-20;5.26917
2025-07-19;5.26944
2025-07-18;5.27708
2025-07-17;5.22163
2025-07-16;5.24814
2025-07-15;5.23127
2025-07-14;5.22854
2025-07-13;5.2288
2025-07-12;5.22906
2025-07-11;5.25216
2025-07-10;5.23328
2025-07-09;5.22772
2025-07-08;5.21952
2025-07-07;5.21699
2025-07-06;5.21725
2025-07-05;5.21751
2025-07-04;5.23126
2025-07-03;5.2061
2025-07-02;5.20301
2025-07-01;5.20784
2025-06-30;5.20596
2025-06-29;5.20622
2025-06-28;5.20648
2025-06-27;5.19017
2025-06-26;5.19374
2025-06-25;5.19715
2025-06-24;5.17066
2025-06-23;5.16956
2025-06-22;5.17014
2025-06-21;5.1704
2025-06-20;5.16104
2025-06-19;5.18363
2025-06-18;5.18548
2025-06-17;5.19392
2025-06-16;5.18925
2025-06-15;5.18951
2025-06-14;5.18977
2025-06-13;5.20945
2025-06-12;5.26092
2025-06-11;5.26003
2025-06-10;5.24367
2025-06-09;5.23526
2025-06-08;5.23553
2025-06-07;5.23579
2025-06-06;5.23042
2025-06-05;5.23597
2025-06-04;5.22259
2025-06-03;5.19137
2025-06-02;5.21432
2025-06-01;5.21458
2025-05-31;5.21484
2025-05-30;5.22968
2025-05-29;5.23455
2025-05-28;5.22787
2025-05-27;5.20752
2025-05-26;5.19575
2025-05-25;5.19601
2025-05-24;5.19627
2025-05-23;5.21863
2025-05-22;5.24181
2025-05-21;5.28265
2025-05-20;5.2761
2025-05-19;5.30105
2025-05-18;5.30131
2025-05-17;5.30158
2025-05-16;5.28392
2025-05-15;5.29146
2025-05-14;5.29615
2025-05-13;5.29344
2025-05-12;5.1776
2025-05-11;5.17786
2025-05-10;5.17812
2025-05-09;5.1596
2025-05-08;5.11865
2025-05-07;5.1278
2025-05-06;5.14717
2025-05-05;5.13885
2025-05-04;5.13911
2025-05-03;5.13937
2025-05-02;5.0812
2025-05-01;5.08218
2025-04-30;5.07682
2025-04-29;5.07065
2025-04-28;5.05781
2025-04-27;5.05807
2025-04-26;5.05832
2025-04-25;5.05333
2025-04-24;5.04972
2025-04-23;4.97491
2025-04-22;4.9951
2025-04-21;4.99284
2025-04-20;4.99309
2025-04-19;4.99335
2025-04-18;4.99354
2025-04-17;5.00165
2025-04-16;5.03562
2025-04-15;4.98978
2025-04-14;4.92672
2025-04-13;4.92697
2025-04-12;4.92722
2025-04-11;4.98401
2025-04-10;4.92541
2025-04-09;5.03684
2025-04-08;4.9689
2025-04-07;5.05688
2025-04-06;5.05714
