date;marketPrice
2025-07-24;5.973
2025-07-23;5.9624
2025-07-22;5.97079
2025-07-21;5.95967
2025-07-20;5.95994
2025-07-19;5.96021
2025-07-18;5.96712
2025-07-17;5.95834
2025-07-16;5.95525
2025-07-15;5.95136
2025-07-14;5.95035
2025-07-13;5.95063
2025-07-12;5.9509
2025-07-11;5.94572
2025-07-10;5.93261
2025-07-09;5.92245
2025-07-08;5.93007
2025-07-07;5.92534
2025-07-06;5.92561
2025-07-05;5.92589
2025-07-04;5.92847
2025-07-03;5.91424
2025-07-02;5.89971
2025-07-01;5.91156
2025-06-30;5.90121
2025-06-29;5.90148
2025-06-28;5.90175
2025-06-27;5.90674
2025-06-26;5.91266
2025-06-25;5.90878
2025-06-24;5.92063
2025-06-23;5.90839
2025-06-22;5.90866
2025-06-21;5.90893
2025-06-20;5.91554
2025-06-19;5.92327
2025-06-18;5.91311
2025-06-17;5.91164
2025-06-16;5.91468
2025-06-15;5.91495
2025-06-14;5.91522
2025-06-13;5.90779
2025-06-12;5.92972
2025-06-11;5.92888
2025-06-10;5.93733
2025-06-09;5.92634
2025-06-08;5.92661
2025-06-07;5.92688
2025-06-06;5.92111
2025-06-05;5.9173
2025-06-04;5.90372
2025-06-03;5.88757
2025-06-02;5.87937
2025-06-01;5.87964
2025-05-31;5.87991
2025-05-30;5.89273
2025-05-29;5.88989
2025-05-28;5.87925
2025-05-27;5.86247
2025-05-26;5.86775
2025-05-25;5.86802
2025-05-24;5.86829
2025-05-23;5.86334
2025-05-22;5.86711
2025-05-21;5.88922
2025-05-20;5.8636
2025-05-19;5.8856
2025-05-18;5.88587
2025-05-17;5.88614
2025-05-16;5.87043
2025-05-15;5.87231
2025-05-14;5.87674
2025-05-13;5.87184
2025-05-12;5.82141
2025-05-11;5.82167
2025-05-10;5.82194
2025-05-09;5.80369
2025-05-08;5.78004
2025-05-07;5.77246
2025-05-06;5.77462
2025-05-05;5.75715
2025-05-04;5.75742
2025-05-03;5.75768
2025-05-02;5.74256
2025-05-01;5.7327
2025-04-30;5.7271
2025-04-29;5.72649
2025-04-28;5.71693
2025-04-27;5.71719
2025-04-26;5.71746
2025-04-25;5.70547
2025-04-24;5.66851
2025-04-23;5.63048
2025-04-22;5.65402
2025-04-21;5.65822
2025-04-20;5.65848
2025-04-19;5.65874
2025-04-18;5.65914
2025-04-17;5.66637
2025-04-16;5.67103
2025-04-15;5.64402
2025-04-14;5.61052
2025-04-13;5.61077
2025-04-12;5.61103
2025-04-11;5.62867
2025-04-10;5.58242
2025-04-09;5.62381
2025-04-08;5.59453
2025-04-07;5.64492
2025-04-06;5.64518
2025-04-05;5.64543
2025-04-04;5.73405
2025-04-03;5.85337
2025-04-02;5.86408
2025-04-01;5.84351
2025-03-31;5.87579
2025-03-30;5.87606
2025-03-29;5.87633
2025-03-28;5.89155
2025-03-27;5.89972
2025-03-26;5.90401
2025-03-25;5.89646
2025-03-24;5.88219
2025-03-23;5.88246
2025-03-22;5.88273
2025-03-21;5.89358
2025-03-20;5.87539
2025-03-19;5.85836
2025-03-18;5.84524
2025-03-17;5.83217
2025-03-16;5.83245
2025-03-15;5.83275
2025-03-14;5.82839
2025-03-13;5.81583
2025-03-12;5.81261
2025-03-11;5.83943
2025-03-10;5.85252
2025-03-09;5.85279
2025-03-08;5.85306
2025-03-07;5.86931
2025-03-06;5.8881
2025-03-05;5.91426
2025-03-04;5.96542
2025-03-03;5.9701
2025-03-02;5.97037
2025-03-01;5.97065
2025-02-28;5.97736
2025-02-27;5.98207
2025-02-26;5.9628
2025-02-25;5.98196
2025-02-24;5.99308
2025-02-23;5.99335
2025-02-22;5.99362
2025-02-21;6.00438
2025-02-20;6.00185
2025-02-19;6.00099
2025-02-18;5.99323
2025-02-17;5.99567
2025-02-16;5.99594
2025-02-15;5.99621
2025-02-14;6.01552
2025-02-13;6.02127
2025-02-12;6.03853
2025-02-11;6.0513
2025-02-10;6.02986
2025-02-09;6.03013
2025-02-08;6.0304
2025-02-07;6.02929
2025-02-06;6.00027
2025-02-05;5.99801
2025-02-04;6.00231
2025-02-03;5.98744
2025-02-02;5.98771
2025-02-01;5.98798
2025-01-31;5.97884
2025-01-30;5.954
2025-01-29;5.93538
2025-01-28;5.90197
2025-01-27;5.93903
2025-01-26;5.9393
2025-01-25;5.93957
2025-01-24;5.94782
2025-01-23;5.94233
2025-01-22;5.95255
2025-01-21;5.94254
2025-01-20;5.95246
2025-01-19;5.95272
2025-01-18;5.95299
2025-01-17;5.94198
2025-01-16;5.92615
2025-01-15;5.91429
2025-01-14;5.91309
2025-01-13;5.90885
2025-01-12;5.90912
2025-01-11;5.90938
2025-01-10;5.9047
2025-01-09;5.90387
2025-01-08;5.88422
2025-01-07;5.88345
2025-01-06;5.90235
2025-01-05;5.90262
2025-01-04;5.90288
2025-01-03;5.90186
2025-01-02;5.86089
2025-01-01;5.86116
2024-12-31;5.8486
2024-12-30;5.8594
2024-12-29;5.85966
2024-12-28;5.85993
2024-12-27;5.86331
2024-12-26;5.86295
2024-12-25;5.86321
2024-12-24;5.86148
2024-12-23;5.85481
2024-12-22;5.85507
2024-12-21;5.85534
2024-12-20;5.86211
2024-12-19;5.87847
2024-12-18;5.8877
2024-12-17;5.90514
2024-12-16;5.91403
2024-12-15;5.91429
2024-12-14;5.91456
2024-12-13;5.93611
2024-12-12;5.94928
2024-12-11;5.93386
2024-12-10;5.92568
2024-12-09;5.91384
2024-12-08;5.9141
2024-12-07;5.91437
2024-12-06;5.92546
2024-12-05;5.94161
2024-12-04;5.94467
2024-12-03;5.93051
2024-12-02;5.92145
2024-12-01;5.92171
2024-11-30;5.92198
2024-11-29;5.91832
2024-11-28;5.91899
2024-11-27;5.92396
2024-11-26;5.9235
2024-11-25;5.94553
2024-11-24;5.9458
2024-11-23;5.94607
2024-11-22;5.90367
2024-11-21;5.87953
2024-11-20;5.87214
2024-11-19;5.86877
2024-11-18;5.85362
2024-11-17;5.85389
2024-11-16;5.85415
2024-11-15;5.86264
2024-11-14;5.85281
2024-11-13;5.85808
2024-11-12;5.86884
2024-11-11;5.85417
2024-11-10;5.85444
2024-11-09;5.8547
2024-11-08;5.84407
2024-11-07;5.82014
2024-11-06;5.79179
2024-11-05;5.79042
2024-11-04;5.79598
2024-11-03;5.79624
2024-11-02;5.7965
2024-11-01;5.79538
2024-10-31;5.83264
2024-10-30;5.84963
2024-10-29;5.84351
2024-10-28;5.84737
2024-10-27;5.84763
2024-10-26;5.84789
2024-10-25;5.85601
2024-10-24;5.86779
2024-10-23;5.86709
2024-10-22;5.86717
2024-10-21;5.86453
2024-10-20;5.86479
2024-10-19;5.86506
2024-10-18;5.85351
2024-10-17;5.83976
2024-10-16;5.82988
2024-10-15;5.82171
2024-10-14;5.81736
2024-10-13;5.81762
2024-10-12;5.81789
2024-10-11;5.80238
2024-10-10;5.7912
2024-10-09;5.77763
2024-10-08;5.79518
2024-10-07;5.78808
2024-10-06;5.78834
2024-10-05;5.7886
2024-10-04;5.7838
2024-10-03;5.78948
2024-10-02;5.78207
2024-10-01;5.75234
2024-09-30;5.76685
2024-09-29;5.76711
2024-09-28;5.76736
2024-09-27;5.76829
2024-09-26;5.75225
2024-09-25;5.7621
2024-09-24;5.75513
2024-09-23;5.73877
2024-09-22;5.73902
2024-09-21;5.73928
2024-09-20;5.74301
2024-09-19;5.73314
2024-09-18;5.73228
2024-09-17;5.72709
2024-09-16;5.72927
2024-09-15;5.72953
2024-09-14;5.72978
2024-09-13;5.71936
2024-09-12;5.69334
2024-09-11;5.68482
2024-09-10;5.67966
2024-09-09;5.66582
2024-09-08;5.66608
2024-09-07;5.66633
2024-09-06;5.69257
2024-09-05;5.69394
2024-09-04;5.70579
2024-09-03;5.72283
2024-09-02;5.72309
2024-09-01;5.72334
2024-08-31;5.72395
2024-08-30;5.71976
2024-08-29;5.70227
2024-08-28;5.70093
2024-08-27;5.7045
2024-08-26;5.71107
2024-08-25;5.71132
2024-08-24;5.71158
2024-08-23;5.69586
2024-08-22;5.70263
2024-08-21;5.70221
2024-08-20;5.71026
2024-08-19;5.70502
2024-08-18;5.70528
2024-08-17;5.70554
2024-08-16;5.68545
2024-08-15;5.66734
2024-08-14;5.67775
2024-08-13;5.67241
2024-08-12;5.66443
2024-08-11;5.66469
2024-08-10;5.66494
2024-08-09;5.64914
2024-08-08;5.64629
2024-08-07;5.62581
2024-08-06;5.63108
2024-08-05;5.67647
2024-08-04;5.67673
2024-08-03;5.67698
2024-08-02;5.72757
2024-08-01;5.72868
2024-07-31;5.70603
2024-07-30;5.70265
2024-07-29;5.68799
2024-07-28;5.68819
2024-07-27;5.68845
2024-07-26;5.67748
2024-07-25;5.69635
2024-07-24;5.70348
2024-07-23;5.68688
2024-07-22;5.68233
2024-07-21;5.68259
2024-07-20;5.68284
2024-07-19;5.69438
2024-07-18;5.69505
2024-07-17;5.71528
2024-07-16;5.69754
2024-07-15;5.6965
2024-07-14;5.69676
2024-07-13;5.69701
2024-07-12;5.69884
2024-07-11;5.6837
2024-07-10;5.67394
2024-07-09;5.67268
2024-07-08;5.67243
2024-07-07;5.67269
2024-07-06;5.67294
2024-07-05;5.66404
2024-07-04;5.66736
2024-07-03;5.64704
2024-07-02;5.65214
2024-07-01;5.66967
2024-06-30;5.66709
2024-06-29;5.66734
2024-06-28;5.67112
2024-06-27;5.67537
2024-06-26;5.67989
2024-06-25;5.67763
2024-06-24;5.6839
2024-06-23;5.68416
2024-06-22;5.68441
2024-06-21;5.68337
2024-06-20;5.66777
2024-06-19;5.66443
2024-06-18;5.6576
2024-06-17;5.66483
2024-06-16;5.66509
2024-06-15;5.66534
2024-06-14;5.65125
